date,ADULT,ALLERGY,ANTACID,ANTIFUNGAL,COLD SORE,DECONGESTANT,DENTURE,MANUAL TOOTHBRUSH,MOUTHWASH,MULTI SYMPTOM,NRT,TOOTHPASTE,TOPICAL
05/05/2018,127216.02,80639.06,85791.75,5662.4,5547.57,55024.88,26241.65,75227.06,182644.88,17363.01,150540.89,566557.32,43040.67
12/05/2018,122011.17,105035.41,75291.33,5544.04,4465.4,42774.57,23847.46,79031.79,183266.49,16775.77,145826.26,535451.55,48025.53
19/05/2018,123895.61,96232.84,78574.27,6886.39,4481.89,43442.93,26067.97,83923.6,195964.04,17257.23,155237.77,542209.81,48480.39
26/05/2018,119773.93,91260.71,75421.94,8505.75,4356.89,38823.39,25840.32,79398.33,184844.14,15356.84,150820.91,528233.16,42985.7
02/06/2018,118201.97,89757.67,75005.48,11419.72,4487.92,38321.04,26124.77,79434.78,191104.06,13276.85,173510.46,524014.74,37545.97
09/06/2018,117680.66,135998.03,73446.84,10687.29,4155.77,41489.94,25197.16,81221.01,189381.06,13959.09,175466.96,537463.25,35889.91
16/06/2018,114406.15,132909.03,73723.21,9773.81,4439.36,40118.68,24992.76,79518.11,188453.38,13281.58,176209.98,545488.21,42409.44
23/06/2018,116107.07,126029.12,81742.15,7664.95,4838.73,39545.72,25661.46,79644.34,187047.33,13096.51,201722.81,557374.67,41500.67
30/06/2018,121891.28,146415.56,79606.65,6639.75,6499.36,42796.57,27321.52,81431.13,194912.69,12856.38,218322.91,584307.61,41847.59
07/07/2018,120676.24,120635.34,75491.92,10407.8,5859.06,41366.67,26837.14,80913.78,194016.35,11462.36,203568.18,582555.24,45587.01
14/07/2018,113584.7,87582.34,74346,11192.07,5813.43,38924.92,26391.13,78705.17,186520.6,11750.69,202674.72,550011.06,42256.31
21/07/2018,112553.59,69756.27,81438.89,11325.97,6178.16,40841.71,27038.73,79557.4,186811.5,11862.61,214405.7,527917.05,47315.89
28/07/2018,113367.28,59694.81,79452.2,9683.14,5867.43,35647.71,26773.64,77206.03,187516.67,10194.14,202028.21,514281.51,39744.06
04/08/2018,111531.54,51986.89,77611.91,7338.54,5922.09,36030.72,26356.62,78248.76,187311.12,10367.66,207764.12,508318.03,40775.93
11/08/2018,108672.89,50803.12,74173.52,6877.88,5568.6,35869.4,26565.03,72460.12,181716.91,11487.51,202853.92,491539.02,42047.13
18/08/2018,107152.33,35800.45,76869.38,6474.47,5369.03,36203.14,26137.14,74539.11,174006.25,11760.86,191527,474871.59,40339.86
25/08/2018,109770.34,34120.44,79363.5,5939.03,4598.8,37738.05,26530.82,71859.15,174011.52,13997.49,198885.24,483657.18,41868.09
01/09/2018,115057.47,33475.01,80644,6874.8,5541.59,45608.65,26065.05,78124.78,188793.89,19671.49,174415.86,536895.39,43096.97
08/09/2018,122260.34,34870.26,85626.89,9333.83,5876.88,49443.12,26957.39,82410.96,202786.63,20617.12,227372.37,572083.56,46855.46
15/09/2018,119537.23,29925.09,84858.11,5604.65,5856.15,51226.48,26513.66,79784.38,190782.81,26841.82,208799.32,545066.68,44485.32
22/09/2018,122928.83,26989.32,85477.16,6103.38,5492.2,46817.58,26636.75,79507.38,190950.54,32571.9,205450.01,552503.1,46587.06
29/09/2018,125432.23,26832.92,85867.82,4229.88,6321.41,51253.92,26310.83,80235.75,195742.73,40822.82,218929,576030.25,48665.85
06/10/2018,129957.44,28220.83,89825.97,6599.81,6320.92,53507.1,27287.01,80426.04,204992.59,46093.28,234545.46,581148.66,50266.4
13/10/2018,128767.73,26772.32,85903.77,6421.49,5201.19,53408.22,26472.69,77253.38,197602.35,41259.52,204798.04,550965.04,44766.03
20/10/2018,126253.49,25794.74,80535.51,7012.95,4591.49,47411.08,27617.93,73427.86,198229.28,35886.96,211719.54,542868.95,46007.23
27/10/2018,126629.14,25250.01,78185.85,5966.54,4884.72,47153.55,27531.79,74103.47,198180.15,34662.81,206978.14,541246.04,47990.41
03/11/2018,132492.94,25398.11,88285.74,4663.77,6699.9,52112.6,27980.42,78902.29,207957.66,40224.1,211578.53,577125.41,51834.94
10/11/2018,130975.95,25450.25,87671.01,6197.06,5507.71,52165.58,26902.35,80348.69,206832.18,40668.14,202359.8,574108.54,47933.33
17/11/2018,125708.89,23482.83,87816.62,6071.39,4781.86,50857.36,27728.05,78055.14,202692.61,38280.85,208680.92,572873.94,50188.03
24/11/2018,130787.76,26850.02,100014.86,6842.76,5463.84,63470.96,28417.89,75737,215139.2,44672.82,242524.91,620175.62,60382.94
01/12/2018,136517.34,29723.44,98638.61,6505.58,6040.83,101115.04,28209.62,83044.68,217040.57,48152.97,231433.8,637853.41,58538.53
08/12/2018,140452.28,26018.21,104513.72,7644.91,5445,61293.43,28317.19,80325.81,216883.62,46909.05,245579.82,593093.94,55310.44
15/12/2018,143322.04,26734.42,120496.45,7251.05,5335.55,78128.42,29169.11,89048.32,201601.37,44202.48,261945.93,589079.46,51877.19
22/12/2018,151801.1,26572.24,143603.52,6364.14,6281.93,76409.93,28970.44,70217.09,176654.16,49684.79,249492.87,527060.09,49021.82
29/12/2018,73225.47,17248.66,95592.9,4349.09,3995.63,46441.4,13268.18,40921.78,110053.21,29436.91,183784.67,280204.18,40012.92
05/01/2019,130025.17,28222.89,107259.32,7296.34,5683.11,67600.78,26062.53,78143.35,200800.86,44543.51,268909.11,562644.85,57394.94
12/01/2019,139466.58,29635.25,101501.62,7982.08,7086.69,71167.53,29699.08,90005.06,235872.95,47347.55,273409.11,662633.86,70356.22
19/01/2019,137762.77,29321.29,96007.36,8783.72,7765.27,63924.03,28586.26,78809.3,222587.52,42817.44,264641.66,624659.15,73001.05
26/01/2019,149845.5,26471.35,141548.91,8348.19,8238.22,66097.48,29288.13,77016.2,231991.55,49066.25,248528.45,621682.01,70045.06
02/02/2019,148062.94,29486.47,93367.57,8163.78,8023.24,70835.15,30143.76,117467.73,226629.14,45649.59,272822.14,640012.82,71142.19
09/02/2019,143022.99,30141.9,90746.33,8631.64,9195.64,73333.7,28912.3,79204.22,223447.07,47018.67,249520.54,633107.32,71300.26
16/02/2019,135540.72,27329.51,86626.86,8416.29,7101.67,72947.16,27284.37,70501.45,195434.7,37745.93,209435.15,570117.62,63482.32
23/02/2019,137963.78,33619.62,92299.83,8506.03,4952.26,72354.46,27131.89,70730.92,204816.33,33001.08,235721.58,577151.46,66629.33
02/03/2019,147048.82,55372.33,93769.89,9915.43,4333.9,79346.66,29472.34,80240.11,234360.82,28831.49,263843.63,643382.11,67694.24
